symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason,side
QQQ,strategy10_scalp,2025-10-27,10:07:00,10:16:00,625.77,625.191,31,625.201,0.0,-17.95,-1.018,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-28,09:55:00,09:56:00,629.89,630.747,31,630.737,0.0,-26.57,-1.012,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-28,12:33:00,15:41:00,631.76,633.543,31,630.908,0.0,55.27,2.093,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-29,10:02:00,10:08:00,636.85,635.667,31,635.677,0.0,-36.67,-1.009,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-29,11:11:00,12:45:00,634.99,635.493,31,636.093,0.0,-15.59,-0.456,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-30,09:48:00,09:49:00,629.87,630.936,31,630.926,0.0,-33.05,-1.009,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-10-30,10:06:00,10:08:00,632.77,631.504,31,631.514,0.0,-39.25,-1.008,stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-10-31,09:49:00,10:37:00,632.1,632.931,31,633.641,0.0,-25.76,-0.539,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-03,09:38:00,12:14:00,633.99,632.601,31,635.631,0.0,43.06,0.846,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-04,09:49:00,10:51:00,624.11,625.153,32,623.0229,0.0,33.38,0.959,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-04,13:18:00,13:52:00,620.915,621.712,32,621.9657,0.0,-25.5,-0.759,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-05,09:43:00,09:47:00,617.82,619.3145,32,619.3045,0.0,-47.82,-1.007,stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-05,09:51:00,15:31:00,620.52,625.1505,32,618.4805,0.0,148.18,2.27,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-06,09:51:00,12:46:00,620.01,613.2577,32,621.719,0.0,216.07,3.951,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-07,10:00:00,12:21:00,605.9,601.529,33,607.964,0.0,144.24,2.118,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-10,09:44:00,10:50:00,620.96,619.892,32,619.042,0.0,-34.18,-0.557,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-10,11:22:00,12:03:00,617.92,619.158,32,619.688,0.0,-39.62,-0.7,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-11,09:53:00,09:57:00,619.8587,621.102,32,621.092,0.0,-39.79,-1.008,stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-11,13:42:00,15:50:00,621.805,621.74,32,620.568,0.0,-2.08,-0.053,eod_flat,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-12,09:33:00,09:37:00,623.09,622.19,32,622.2,0.0,-28.8,-1.011,stop,pdh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-12,09:43:00,10:10:00,621.68,621.96,32,622.85,0.0,-8.96,-0.239,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-13,09:35:00,10:08:00,616.51,616.395,32,618.515,0.0,3.68,0.057,trail_stop,pdl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-13,10:26:00,12:30:00,615.9,612.095,32,617.045,0.0,121.76,3.323,trail_stop,orl_break_retest_short,short
QQQ,strategy10_scalp,2025-11-14,09:42:00,12:51:00,602.25,610.686,33,599.226,0.0,278.39,2.79,trail_stop,orh_break_retest_long,long
QQQ,strategy10_scalp,2025-11-17,10:06:00,11:02:00,609.84,607.092,32,607.102,0.0,-87.94,-1.004,stop,orh_break_retest_long,long
