symbol,strategy,date,entry_time,exit_time,entry,exit,shares,stop,target,pnl,r_multiple,exit_reason,signal_reason
SPY,orb,2024-07-05,10:00:00,10:05:00,552.55,551.55,36,551.56,554.53,-36.0,-1.01,stop,orb_break_552.35
SPY,orb,2024-07-10,10:05:00,11:00:00,557.62,556.78,35,556.79,559.28,-29.4,-1.012,stop,orb_break_557.32
SPY,orb,2024-07-11,10:05:00,10:10:00,562.31,561.21,35,561.22,564.49,-38.5,-1.009,stop,orb_break_561.96
SPY,orb,2024-07-12,09:50:00,10:35:00,558.29,560.56,35,557.15,560.57,79.45,1.991,target,orb_break_558.20
SPY,orb,2024-07-15,10:35:00,13:00:00,563.05,561.85,35,561.86,565.43,-42.0,-1.008,stop,orb_break_562.83
SPY,orb,2024-07-16,11:05:00,12:10:00,563.7,562.73,35,562.74,565.62,-33.95,-1.01,stop,orb_break_563.61
SPY,orb,2024-07-17,09:55:00,10:05:00,560.39,558.77,35,558.78,563.61,-56.7,-1.006,stop,orb_break_560.16
SPY,orb,2024-07-18,10:05:00,10:30:00,559.0406,557.96,35,557.97,561.1818,-37.82,-1.009,stop,orb_break_558.89
SPY,orb,2024-07-22,09:50:00,10:00:00,554.31,552.265,36,552.275,558.38,-73.62,-1.005,stop,orb_break_553.96
SPY,orb,2024-07-23,09:50:00,15:40:00,555.75,554.12,35,554.13,558.99,-57.05,-1.006,stop,orb_break_555.66
SPY,orb,2024-07-25,10:50:00,12:10:00,541.73,544.96,36,540.11,544.97,116.28,1.994,target,orb_break_541.62
SPY,orb,2024-07-26,10:05:00,13:25:00,543.3,546.91,36,541.49,546.92,129.96,1.994,target,orb_break_543.14
SPY,orb,2024-07-29,10:00:00,10:30:00,546.65,544.74,36,544.75,550.45,-68.76,-1.005,stop,orb_break_546.25
SPY,orb,2024-07-31,10:10:00,15:50:00,549.6586,551.33,36,547.5799,553.816,60.17,0.804,eod_flat,orb_break_549.26
SPY,orb,2024-08-05,09:50:00,15:50:00,516.92,515.23,38,510.27,530.22,-64.22,-0.254,eod_flat,orb_break_515.98
SPY,orb,2024-08-06,09:55:00,14:30:00,521.695,529.235,38,517.92,529.245,286.52,1.997,target,orb_break_520.54
SPY,orb,2024-08-07,09:55:00,11:45:00,530.3,527.93,37,527.94,535.02,-87.69,-1.004,stop,orb_break_530.17
SPY,orb,2024-08-08,09:55:00,10:25:00,524.43,527.4,38,522.94,527.41,112.86,1.993,target,orb_break_524.38
SPY,orb,2024-08-09,10:15:00,15:50:00,531.45,533.01,37,529.209,535.932,57.72,0.696,eod_flat,orb_break_531.11
SPY,orb,2024-08-12,10:35:00,11:25:00,534.64,531.93,37,531.94,540.04,-100.27,-1.004,stop,orb_break_534.48
SPY,orb,2024-08-13,09:50:00,15:45:00,538.13,541.82,37,536.28,541.83,136.53,1.995,target,orb_break_537.69
SPY,orb,2024-08-15,10:30:00,15:35:00,550.41,553.32,36,548.95,553.33,104.76,1.993,target,orb_break_550.22
SPY,orb,2024-08-16,09:55:00,12:55:00,552.41,554.7,36,551.26,554.71,82.44,1.991,target,orb_break_552.40
SPY,orb,2024-08-19,10:40:00,14:00:00,555.575,557.675,35,554.52,557.685,73.5,1.991,target,orb_break_555.53
SPY,orb,2024-08-20,09:50:00,10:10:00,560.19,559.13,35,559.14,562.29,-37.1,-1.01,stop,orb_break_560.14
SPY,orb,2024-08-21,10:00:00,10:10:00,560.38,559.34,35,559.35,562.44,-36.4,-1.01,stop,orb_break_560.17
SPY,orb,2024-08-23,10:00:00,10:00:00,559.78,561.67,35,558.83,561.68,66.15,1.989,target,orb_break_559.71
SPY,orb,2024-08-27,09:55:00,15:50:00,560.06,561.69,35,558.32,563.54,57.05,0.937,eod_flat,orb_break_559.61
SPY,orb,2024-08-29,10:00:00,14:35:00,561.11,559.62,35,559.63,564.07,-52.15,-1.007,stop,orb_break_561.04
SPY,orb,2024-08-30,10:05:00,10:55:00,561.98,560.44,35,560.45,565.04,-53.9,-1.007,stop,orb_break_561.93
SPY,orb,2024-09-04,10:00:00,10:00:00,552.55,550.02,36,550.03,557.59,-91.08,-1.004,stop,orb_break_552.36
SPY,orb,2024-09-05,10:05:00,10:50:00,553.01,550.64,36,550.65,557.73,-85.32,-1.004,stop,orb_break_552.13
SPY,orb,2024-09-09,10:00:00,10:30:00,545.31,544.05,36,544.06,547.81,-45.36,-1.008,stop,orb_break_545.27
SPY,orb,2024-09-12,10:15:00,10:35:00,555.42,554.47,36,554.48,557.3,-34.2,-1.011,stop,orb_break_555.37
SPY,orb,2024-09-13,09:50:00,15:50:00,561.13,561.81,35,559.45,564.49,23.8,0.405,eod_flat,orb_break_560.87
SPY,orb,2024-09-16,09:55:00,10:30:00,562.77,560.81,35,560.82,566.67,-68.6,-1.005,stop,orb_break_562.13
SPY,orb,2024-09-17,10:10:00,12:05:00,565.84,564.59,35,564.6,568.32,-43.75,-1.008,stop,orb_break_565.57
SPY,orb,2024-09-19,10:30:00,15:50:00,571.34,571.59,35,569.05,575.92,8.75,0.109,eod_flat,orb_break_571.09
SPY,orb,2024-09-23,10:20:00,12:15:00,569.64,568.52,35,568.53,571.86,-39.2,-1.009,stop,orb_break_569.42
SPY,orb,2024-09-27,10:25:00,11:35:00,573.77,572.79,34,572.8,575.71,-33.32,-1.01,stop,orb_break_573.56
SPY,orb,2024-09-30,11:05:00,14:10:00,571.66,570.39,34,570.4,574.18,-43.18,-1.008,stop,orb_break_571.49
SPY,orb,2024-10-02,10:15:00,15:50:00,567.87,569.34,35,565.27,573.07,51.45,0.565,eod_flat,orb_break_567.76
SPY,orb,2024-10-03,10:05:00,10:20:00,569.24,567.03,35,567.04,573.64,-77.35,-1.005,stop,orb_break_568.19
SPY,orb,2024-10-07,10:20:00,11:00:00,571.81,570.74,34,570.75,573.93,-36.38,-1.009,stop,orb_break_571.65
SPY,orb,2024-10-08,10:00:00,15:30:00,570.76,573.19,35,569.54,573.2,85.05,1.992,target,orb_break_570.50
SPY,orb,2024-10-09,10:15:00,11:35:00,573.8,576.29,34,572.55,576.3,84.66,1.992,target,orb_break_573.79
SPY,orb,2024-10-10,10:10:00,13:50:00,576.2,574.9201,34,574.9301,578.7398,-43.52,-1.008,stop,orb_break_575.95
SPY,orb,2024-10-11,09:55:00,10:25:00,577.25,579.92,34,575.91,579.93,90.78,1.993,target,orb_break_577.19
SPY,orb,2024-10-14,09:50:00,15:50:00,582.955,585.13,34,580.73,587.405,73.95,0.978,eod_flat,orb_break_582.19
SPY,orb,2024-10-16,10:10:00,15:50:00,580.39,582.4,34,579.02,583.13,68.34,1.467,eod_flat,orb_break_579.96
SPY,orb,2024-10-18,11:30:00,15:50:00,584.27,584.19,34,582.58,587.65,-2.72,-0.047,eod_flat,orb_break_584.22
SPY,orb,2024-10-21,09:50:00,10:30:00,584.32,583.73,34,583.74,585.48,-20.06,-1.017,stop,orb_break_584.27
SPY,orb,2024-10-22,09:55:00,13:40:00,581.37,583.34,34,580.38,583.35,66.98,1.99,target,orb_break_581.31
SPY,orb,2024-10-25,09:50:00,13:10:00,582.95,581.46,34,581.47,585.91,-50.66,-1.007,stop,orb_break_582.63
SPY,orb,2024-10-29,10:00:00,15:50:00,579.99,582.48,34,578.43,583.11,84.66,1.596,eod_flat,orb_break_579.96
SPY,orb,2024-10-30,10:00:00,15:50:00,581.85,580.44,34,579.29,586.97,-47.94,-0.551,eod_flat,orb_break_581.63
SPY,orb,2024-11-01,09:50:00,15:50:00,573.06,571.38,34,570.68,577.82,-57.12,-0.706,eod_flat,orb_break_573.04
SPY,orb,2024-11-04,10:20:00,11:40:00,571.75,569.26,34,569.27,576.71,-84.66,-1.004,stop,orb_break_571.53
SPY,orb,2024-11-05,09:50:00,15:50:00,572.82,575.71,34,570.52,577.42,98.26,1.257,eod_flat,orb_break_572.67
SPY,orb,2024-11-07,10:00:00,14:55:00,593.98,595.9302,33,592.9999,595.9402,64.36,1.99,target,orb_break_593.80
SPY,orb,2024-11-08,09:50:00,13:30:00,596.93,598.46,33,596.16,598.47,50.49,1.987,target,orb_break_596.84
SPY,orb,2024-11-13,11:30:00,15:00:00,597.98,596.99,33,597.0,599.94,-32.67,-1.01,stop,orb_break_597.72
SPY,orb,2024-11-18,10:05:00,15:50:00,586.78,588.22,34,585.34,589.66,48.96,1.0,eod_flat,orb_break_586.39
SPY,orb,2024-11-19,10:30:00,13:45:00,586.46,590.27,34,584.55,590.28,129.54,1.995,target,orb_break_585.80
SPY,orb,2024-11-22,10:00:00,10:25:00,595.95,593.56,33,593.57,600.71,-78.87,-1.004,stop,orb_break_595.78
SPY,orb,2024-11-26,11:30:00,15:50:00,599.575,601.13,33,598.5,601.725,51.31,1.447,eod_flat,orb_break_599.48
SPY,orb,2024-11-29,09:55:00,12:05:00,600.57,602.939,33,599.3805,602.949,78.18,1.992,target,orb_break_600.34
SPY,orb,2024-12-04,09:55:00,10:00:00,606.1,605.5,32,605.51,607.28,-19.2,-1.017,stop,orb_break_606.05
SPY,orb,2024-12-05,10:05:00,10:20:00,608.1,607.36,32,607.37,609.56,-23.68,-1.014,stop,orb_break_607.85
SPY,orb,2024-12-06,09:50:00,12:00:00,608.82,607.33,32,607.34,611.78,-47.68,-1.007,stop,orb_break_608.30
SPY,orb,2024-12-10,10:20:00,12:15:00,605.48,604.2637,33,604.2737,607.8926,-40.14,-1.008,stop,orb_break_605.40
SPY,orb,2024-12-11,09:50:00,12:00:00,606.35,608.04,32,605.5,608.05,54.08,1.988,target,orb_break_606.13
SPY,orb,2024-12-12,10:40:00,11:45:00,606.885,605.87,32,605.88,608.895,-32.48,-1.01,stop,orb_break_606.64
SPY,orb,2024-12-16,10:05:00,10:20:00,606.67,605.62,32,605.63,608.75,-33.6,-1.01,stop,orb_break_606.40
SPY,orb,2024-12-17,09:55:00,10:10:00,604.83,603.5904,33,603.6004,607.2892,-40.91,-1.008,stop,orb_break_604.61
SPY,orb,2024-12-18,09:55:00,14:05:00,604.555,603.46,33,603.47,606.725,-36.13,-1.009,stop,orb_break_604.15
SPY,orb,2024-12-20,10:15:00,11:05:00,584.372,590.806,34,581.15,590.816,218.76,1.997,target,orb_break_584.18
SPY,orb,2024-12-24,09:55:00,12:20:00,596.99,600.02,33,595.47,600.03,99.99,1.993,target,orb_break_596.99
SPY,orb,2024-12-26,10:30:00,12:10:00,600.295,602.055,33,599.41,602.065,58.08,1.989,target,orb_break_600.27
SPY,orb,2024-12-30,11:20:00,15:50:00,588.26,590.0,33,585.67,593.44,57.42,0.672,eod_flat,orb_break_588.01
SPY,orb,2025-01-02,09:55:00,11:00:00,589.94,586.13,33,586.14,597.54,-125.73,-1.003,stop,orb_break_589.65
SPY,orb,2025-01-03,11:05:00,15:50:00,589.57,591.33,33,586.91,594.89,58.08,0.662,eod_flat,orb_break_589.54
SPY,orb,2025-01-06,09:50:00,13:45:00,597.98,595.89,33,595.9,602.14,-68.97,-1.005,stop,orb_break_597.78
SPY,orb,2025-01-13,09:55:00,15:50:00,577.35,580.15,34,575.35,581.35,95.2,1.4,eod_flat,orb_break_576.90
SPY,orb,2025-01-15,09:50:00,15:50:00,592.12,593.33,33,589.195,597.97,39.93,0.414,eod_flat,orb_break_591.24
SPY,orb,2025-01-17,10:40:00,15:50:00,597.57,598.22,33,595.61,601.49,21.45,0.332,eod_flat,orb_break_597.30
SPY,orb,2025-01-22,09:55:00,15:50:00,606.3123,606.79,32,605.36,608.2169,15.29,0.502,eod_flat,orb_break_606.08
SPY,orb,2025-01-23,10:45:00,15:50:00,606.545,608.08,32,605.52,608.595,49.12,1.498,eod_flat,orb_break_606.28
SPY,orb,2025-01-24,09:50:00,10:00:00,610.45,609.64,32,609.65,612.05,-25.92,-1.012,stop,orb_break_610.37
SPY,orb,2025-01-27,10:00:00,15:50:00,598.6,598.09,33,594.64,606.52,-16.83,-0.129,eod_flat,orb_break_598.45
SPY,orb,2025-01-28,10:15:00,15:50:00,600.83,604.71,33,598.26,605.97,128.04,1.51,eod_flat,orb_break_600.78
SPY,orb,2025-01-29,10:10:00,11:05:00,603.99,602.4351,33,602.4451,607.0798,-51.31,-1.006,stop,orb_break_603.99
SPY,orb,2025-01-30,09:50:00,10:00:00,605.72,603.3611,33,603.3711,610.4178,-77.84,-1.004,stop,orb_break_604.70
SPY,orb,2025-01-31,10:00:00,13:25:00,608.13,607.05,32,607.06,610.27,-34.56,-1.009,stop,orb_break_607.98
SPY,orb,2025-02-03,10:25:00,15:50:00,595.16,598.46,33,591.905,601.67,108.9,1.014,eod_flat,orb_break_594.37
SPY,orb,2025-02-04,09:55:00,15:50:00,598.96,601.44,33,597.28,602.32,81.84,1.476,eod_flat,orb_break_598.55
SPY,orb,2025-02-05,11:10:00,11:20:00,601.31,600.19,33,600.2,603.53,-36.96,-1.009,stop,orb_break_601.09
SPY,orb,2025-02-07,09:50:00,10:00:00,607.87,606.55,32,606.56,610.49,-42.24,-1.008,stop,orb_break_607.77
SPY,orb,2025-02-10,10:05:00,15:50:00,604.15,604.72,33,602.74,606.97,18.81,0.404,eod_flat,orb_break_604.10
SPY,orb,2025-02-11,10:30:00,15:50:00,604.17,604.86,33,602.43,607.65,22.77,0.397,eod_flat,orb_break_603.59
SPY,orb,2025-02-12,09:50:00,15:50:00,601.18,602.89,33,598.51,606.52,56.43,0.64,eod_flat,orb_break_600.76
SPY,orb,2025-02-13,10:05:00,14:50:00,605.115,608.935,33,603.2,608.945,126.06,1.995,target,orb_break_605.05
SPY,orb,2025-02-14,10:05:00,10:40:00,610.62,609.75,32,609.76,612.34,-27.84,-1.012,stop,orb_break_610.49
SPY,orb,2025-02-19,10:35:00,12:00:00,610.485,611.945,32,609.75,611.955,46.72,1.986,target,orb_break_610.27
SPY,orb,2025-02-26,09:50:00,12:55:00,597.22,595.09,33,595.1,601.46,-70.29,-1.005,stop,orb_break_596.50
SPY,orb,2025-02-28,10:10:00,13:15:00,586.684,583.26,34,583.27,593.512,-116.42,-1.003,stop,orb_break_586.33
SPY,orb,2025-03-06,10:05:00,12:00:00,576.25,573.44,34,573.45,581.85,-95.54,-1.004,stop,orb_break_575.75
SPY,orb,2025-03-07,09:50:00,10:30:00,575.38,570.79,34,570.8,584.54,-156.06,-1.002,stop,orb_break_574.79
